PO_MW (g/mol),DI_MR,PO_MR,CE_MR,IsoIndex,CHS (%),Tr1,Tr2,Gage_Length (mm),Gage_Width (mm),Thickness (mm),Elongation_Rate (mm/min),Strain_Rate (/min),Young's modulus (Mpa),Tensile strength (Mpa),Elongation at break (%)
2000,0.5122,0.2927,0.1951,1.05,19.96,110.0,135.0,25.0,6.0,1.0,100.0,4.0,55.7,33.0,600.0
2000,0.5122,0.1463,0.3415,1.05,44.95,110.0,135.0,25.0,6.0,1.0,100.0,4.0,40.8,35.0,280.0
2000,0.5122,0.2195,,1.05,33.03,110.0,135.0,25.0,6.0,1.0,100.0,4.0,62.3,36.5,400.0
2000,0.5122,0.2927,,1.05,24.91,110.0,135.0,25.0,6.0,1.0,100.0,4.0,72.1,37.4,470.0
2000,0.5,0.3,,1.0,23.7,110.0,135.0,25.0,6.0,1.0,100.0,4.0,18.0,33.5,400.0
2000,0.5,0.3,,1.0,24.51,110.0,135.0,25.0,6.0,1.0,100.0,4.0,17.6,31.1,550.0
1000,0.4949,0.2374,,0.98,38.4,85.0,100.0,25.0,4.0,2.0,100.0,4.0,18.6,14.1,716.0
1000,0.5,0.2394,0.2606,1.0,38.3,85.0,100.0,25.0,4.0,2.0,100.0,4.0,18.4,17.4,749.0
1000,0.4872,0.2118,,0.95,41.3,85.0,100.0,25.0,4.0,2.0,100.0,4.0,40.9,12.1,572.0
1000,0.4949,0.2135,,0.98,41.3,85.0,100.0,25.0,4.0,2.0,100.0,4.0,37.2,17.1,635.0
1000,0.5,0.216001041,0.284,1.0,41.1,85.0,100.0,25.0,4.0,2.0,100.0,4.0,32.9,24.3,771.0
1000,0.4872,0.1913,0.3215,0.95,44.1,85.0,100.0,25.0,4.0,2.0,100.0,4.0,54.3,16.0,532.0
1000,0.4949,0.1934,,0.98,44.0,85.0,100.0,25.0,4.0,2.0,100.0,4.0,52.2,22.3,654.0
1000,0.5,0.195,,1.0,43.9,85.0,100.0,25.0,4.0,2.0,100.0,4.0,51.6,27.9,777.0
1000,0.5,0.4,,1.0,22.2,85.0,120.0,20.0,6.0,1.0,500.0,25.0,57.7,33.5,567.0
1000,0.5,0.3333,,1.0,26.49,85.0,120.0,20.0,6.0,1.0,500.0,25.0,77.23,31.2,506.0
1000,0.5,0.2857,,1.0,30.33,85.0,120.0,20.0,6.0,1.0,500.0,25.0,147.52,26.4,481.0
2000,0.5,0.4,,1.0,12.48,85.0,120.0,20.0,6.0,1.0,500.0,25.0,10.21,23.6,805.0
2000,0.5,0.3333,,1.0,15.27,85.0,120.0,20.0,6.0,1.0,500.0,25.0,12.7,28.1,778.0
2000,0.5,0.2857,,1.0,17.88,85.0,120.0,20.0,6.0,1.0,500.0,25.0,52.4,40.3,570.0
3000,0.5,0.4,0.1,1.0,8.68,85.0,120.0,20.0,6.0,1.0,500.0,25.0,12.87,17.0,822.0
3000,0.5,0.3333,,1.0,10.72,85.0,120.0,20.0,6.0,1.0,500.0,25.0,9.39,34.9,742.0
3000,0.5,0.2857,,1.0,12.67,85.0,120.0,20.0,6.0,1.0,500.0,25.0,18.42,37.1,691.0
2000,0.5,0.3333,,1.0,18.08,85.0,120.0,20.0,6.0,1.0,500.0,25.0,16.2,27.4,704.0
2000,0.5,0.25,,1.0,23.63,85.0,120.0,20.0,6.0,1.0,500.0,25.0,29.5,30.0,630.0
2000,0.5,0.2,0.3,1.0,28.47,85.0,120.0,20.0,6.0,1.0,500.0,25.0,50.1,38.3,626.0
1000,0.5,0.25,0.25,1.0,38.22,85.0,120.0,20.0,6.0,1.0,500.0,25.0,48.1,33.1,526.0
3000,0.5,0.25,,1.0,17.1,85.0,120.0,20.0,6.0,1.0,500.0,25.0,12.1,34.5,687.0
2040,0.5,0.309,0.191,1.0,13.4,50.0,60.0,10.0,2.91,0.15,25.0,2.5,9.75,16.44,1440.0
2040,0.5,0.222,,1.0,18.8,50.0,60.0,10.0,2.91,0.15,25.0,2.5,21.3,20.45,1040.0
750,0.498,0.249,,0.99,33.1,80.0,80.0,30.0,2.2,0.1,10.0,0.25,263.9,38.4,953.0
1000,0.498,0.249,,0.99,27.0,80.0,80.0,30.0,2.2,0.1,10.0,0.25,149.0,36.9,937.0
1600,0.498,0.249,,0.99,18.8,80.0,100.0,30.0,2.2,0.1,10.0,0.25,64.6,43.2,1120.0
1900,0.498,0.249,,0.99,16.3,80.0,80.0,30.0,2.2,0.1,10.0,0.25,54.6,50.2,1120.0
2200,0.498,0.249,,0.99,14.4,80.0,80.0,30.0,2.2,0.1,10.0,0.25,30.1,39.8,1230.0
2800,0.498,0.249,,0.99,11.7,80.0,60.0,30.0,2.2,0.1,10.0,0.25,33.8,45.5,1180.0
1250,0.5,0.25,,1.0,22.76,85.0,25.0,10.0,3.0,0.2,10.0,0.33,54.0,47.4,1360.0
1000,0.512,0.244,0.244,1.05,44.4,75.0,82.0,20.0,4.0,0.5,500.0,25.0,46.2,38.8,664.0
5250,0.505,0.066,0.429,1.02,41.9,60.0,60.0,12.0,4.0,0.5,10.0,0.833,14.0,26.2,818.0
5250,0.505,0.066,,1.02,44.2,60.0,60.0,12.0,4.0,0.5,10.0,0.833,38.0,32.5,873.0
530,0.5,0.4375,,1.0,37.9,80.0,80.0,45.0,8.0,0.2,50.0,1.111,18.75,19.3,634.0
530,0.5,0.375,,1.0,44.27,80.0,80.0,45.0,8.0,0.2,50.0,1.111,18.77,24.6,582.0
