SSID,ZS_CHS,ZS_R,ZS_log_Tr1K,ZS_log_Tr2K,PMStep,Form_Method,ZS_log_CSArea,ZS_log_StrainRate,ZS_log_PO_MW,ZS_log_FCVm,ZS_FCCED,ZS_log_Fchi,ZS_SS_TPSA_norm,ZS_SS_MolLogP_norm,ZS_HS_BertzCT,ZS_SS_VSA_EState8,ZS_SS_PEOE_VSA8,ZS_log_HS_NumNHCO_norm,ZS_FC_NumHAcceptors_norm,ZS_FC_RingCount_norm,logEB,logYM,logTS
SS1252,-0.994759078,-0.45846916,0.546134351,0.423238831,2,4,1.002082384,0.12185362,1.00408824,0.861926994,-0.077525094,-0.100867114,0.019972222,0.685638862,-0.98009626,-0.587320522,1.327432694,0.065405617,2.580811943,-2.066042155,0.936564005,2.314709693,1.45331834
SS1253,-0.360341161,-0.45846916,0.546134351,0.423238831,2,4,1.002082384,0.12185362,1.00408824,0.261517201,0.087919362,-0.306394366,0.019972222,0.685638862,-0.960625721,-0.587320522,1.327432694,0.012863202,2.718112823,-2.066042155,0.928754202,2.153814864,1.267171728
SS1256,1.112483449,-0.45846916,0.257283837,0.183376499,1,3,0.754153633,0.627556623,-0.699792708,-0.552157298,0.498774641,-0.151200023,-0.360023101,0.004447753,1.669050058,-0.097645705,0.952921356,-1.133742764,0.225396289,1.004491223,0.653212514,1.57634135,1.64246452
SS1257,0.639075539,-0.45846916,0.257283837,0.183376499,1,3,0.754153633,0.627556623,-0.699792708,-0.404615764,0.312251003,-0.080694419,-0.360023101,0.004447753,1.381844617,-0.097645705,0.952921356,-0.96272264,0.241639199,0.778835802,0.672097858,1.187520721,1.603144373
SS1258,0.23109799,-0.45846916,0.257283837,0.183376499,1,3,0.754153633,0.627556623,-0.699792708,-0.282834555,0.168829932,-0.018493945,-0.360023101,0.004447753,1.094639177,-0.097645705,0.952921356,-0.78024523,0.246122478,0.575844165,0.851258349,0.890421019,1.225309282
SS1259,1.148406,-0.45846916,0.257283837,0.183376499,1,3,0.754153633,0.627556623,-0.699792708,-0.543471727,0.548832678,-0.114150609,-0.360023101,0.004447753,1.673155632,-0.097645705,0.952921356,-1.191793805,0.148650954,0.941136511,0.633468456,1.553883027,1.662757832
SS1260,0.667300401,-0.45846916,0.257283837,0.183376499,1,3,0.754153633,0.627556623,-0.699792708,-0.396700326,0.349390448,-0.047610697,-0.360023101,0.004447753,1.385265929,-0.097645705,0.952921356,-1.014293644,0.181505056,0.724736446,0.653212514,1.217483944,1.537819095
SS1261,0.256756955,-0.45846916,0.257283837,0.183376499,1,3,0.754153633,0.627556623,-0.699792708,-0.27794967,0.19807859,0.009173542,-0.360023101,0.004447753,1.097376226,-0.097645705,0.952921356,-0.824419727,0.198927312,0.534341379,0.740362689,0.907948522,1.271841607
SS1263,0.699374107,-0.45846916,0.257283837,0.183376499,1,3,0.754153633,0.627556623,-0.699792708,-0.390624971,0.388368942,-0.016905809,-0.360023101,0.004447753,1.386804965,-0.097645705,0.952921356,-1.064906675,0.121901736,0.675196466,0.62324929,1.198657087,1.5289167
SS1264,0.282415921,-0.45846916,0.257283837,0.183376499,1,3,0.754153633,0.627556623,-0.699792708,-0.273202047,0.227319956,0.035552815,-0.360023101,0.004447753,1.098607455,-0.097645705,0.952921356,-0.867889463,0.153039925,0.494336629,0.69019608,0.860338007,1.193124598
